,id,start,end,length,quantity_limit,tonnage_limit,max_train_tonnage
154,154,41,23,62.0,102,1105619,21678.803921568626
155,155,41,12,98.223,201,1102459,10969.74129353234
156,156,80,41,40.778,61,1031545,33821.147540983606
157,157,63,43,177.696,105,1360903,25921.961904761905
158,158,43,84,83.447,139,206453,2970.546762589928
159,159,43,37,210.112,135,1323993,19614.71111111111
160,160,84,51,90.084,152,163706,2154.0263157894738
161,161,12,44,74.066,109,1003261,18408.45871559633
162,162,86,44,87.485,72,383883,10663.416666666666
163,163,68,80,133.934,444,1013855,4566.914414414415
164,164,1,68,52.405,119,828386,13922.453781512606
165,165,1,61,63.565,47,149625,6367.021276595745
166,166,17,1,18.89,42,276277,13156.047619047618
167,167,57,69,15.366,55,168635,6132.181818181818
168,168,57,64,84.071,58,140627,4849.206896551724
169,169,64,87,184.476,44,30631,1392.3181818181818
170,170,64,14,67.847,38,157303,8279.105263157895
173,173,45,27,29.063,56,3221433,115051.17857142857
174,174,45,11,96.13,138,802432,11629.449275362318
175,175,11,51,204.14,262,796354,6079.038167938931
176,176,19,74,69.135,26,1122136,86318.15384615384
177,177,19,30,60.255,42,522670,24889.04761904762
